City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Severo-Kurilsk,RU,50.6789,156.125,31.87,64,87,23.69,overcast clouds
80,Kapaa,US,22.0752,-159.319,71.92,71,75,1.99,light rain
81,Mahebourg,MU,-20.4081,57.7,78.26,83,75,3.44,broken clouds
82,Ornskoldsvik,SE,63.2909,18.7153,9.55,92,41,5.75,scattered clouds
83,Wallaceburg,CA,42.593,-82.3885,37.53,61,96,12.33,overcast clouds
84,Vanimo,PG,-2.6741,141.3028,86.11,68,100,9.42,overcast clouds
85,Nizhneangarsk,RU,55.7833,109.55,21.61,70,100,11.83,overcast clouds
86,Kavaratti,IN,10.5669,72.642,81.1,77,28,10.33,scattered clouds
87,Touros,BR,-5.1989,-35.4608,79.7,81,16,13.06,few clouds
88,Aykino,RU,62.2248,49.9922,5.13,91,100,11.34,overcast clouds
89,Kapuskasing,CA,49.4169,-82.4331,6.89,78,90,8.05,light snow
90,Bredasdorp,ZA,-34.5322,20.0403,60.28,95,100,17.83,moderate rain
91,Port Elizabeth,ZA,-33.918,25.5701,63.1,95,100,20.65,light rain
92,Nicoya,CR,10.1483,-85.452,76.55,81,12,7.47,few clouds
93,Alofi,NU,-19.0595,-169.9187,82.29,83,87,11.5,light rain
94,Hermanus,ZA,-34.4187,19.2345,62.91,92,100,20.07,light rain
95,Qaanaaq,GL,77.484,-69.3632,3.83,63,95,9.17,overcast clouds
96,Chicama,PE,-7.8447,-79.1469,63.14,82,84,5.99,broken clouds
97,Vestmannaeyjar,IS,63.4427,-20.2734,38.5,69,99,27.22,overcast clouds
98,Meulaboh,ID,4.1363,96.1285,82.76,72,37,2.46,scattered clouds
99,Fayaoue,NC,-20.65,166.5333,79.77,80,64,12.66,broken clouds
100,Ponta Delgada,PT,37.7333,-25.6667,63.5,82,75,3.44,broken clouds
101,Aguas Vermelhas,BR,-15.7472,-41.46,65.07,99,97,2.66,overcast clouds
102,Awjilah,LY,29.1081,21.2869,54.59,76,4,10.69,clear sky
103,Celestun,MX,20.8667,-90.4,74.34,74,5,13.96,clear sky
104,Agadir,MA,30.4202,-9.5982,45.05,57,36,4.29,scattered clouds
105,Bereslavka,RU,48.6254,44.0449,36.37,100,100,12.8,overcast clouds
106,Haines Junction,CA,60.7522,-137.5108,-34.65,74,17,1.14,few clouds
107,Gucheng,CN,35.9115,111.3192,45.57,30,0,4.03,clear sky
108,Saint-Augustin,CA,51.226,-58.6502,20.64,62,19,17.18,few clouds
109,Carnarvon,AU,-24.8667,113.6333,82.47,61,0,6.91,clear sky
110,Jagalur,IN,14.5333,76.35,71.8,80,58,6.2,broken clouds
111,Lebu,CL,-37.6167,-73.65,53.53,86,0,17.85,clear sky
112,Puerto Ayora,EC,-0.7393,-90.3518,68.45,91,38,6.02,scattered clouds
113,Walvis Bay,NA,-22.9575,14.5053,57.09,76,0,4.61,clear sky
114,Stromness,GB,58.965,-3.296,41.25,58,86,29.77,overcast clouds
115,Manta,EC,-0.95,-80.7333,73.18,83,75,11.5,broken clouds
116,Wladyslawowo,PL,54.7909,18.4009,35.94,89,100,2.95,overcast clouds
117,Borogontsy,RU,62.6683,131.1683,-14.21,95,95,5.5,overcast clouds
118,Agirish,RU,61.9247,63.0231,-0.85,95,100,8.1,overcast clouds
119,Torbay,CA,47.6666,-52.7314,30.67,57,1,24.16,clear sky
120,Ilulissat,GL,69.2167,-51.1,35.62,48,100,37.98,light rain
121,Hilo,US,19.7297,-155.09,69.24,93,90,3.44,light rain
122,Souillac,MU,-20.5167,57.5167,78.37,83,75,3.44,broken clouds
123,Tiksi,RU,71.6872,128.8694,-18.87,92,100,0.38,overcast clouds
124,Plettenberg Bay,ZA,-34.0527,23.3716,63.01,96,100,13.22,light rain
125,Aksarka,RU,66.5606,67.7975,-28.75,99,15,6.2,few clouds
126,Manturovo,RU,58.3353,44.7619,2.3,93,16,4.94,few clouds
127,Yining,CN,29.0361,114.5636,60.21,42,3,1.01,clear sky
128,Griffith,US,41.5284,-87.4237,39.88,48,90,0.0,overcast clouds
129,Baykit,RU,61.67,96.37,-5.71,96,99,2.59,overcast clouds
130,Mariental,NA,-24.6333,17.9667,56.57,49,0,5.23,clear sky
131,Provideniya,RU,64.3833,-173.3,26.73,97,100,19.01,snow
132,San Rafael,AR,-34.6177,-68.3301,63.36,73,100,4.52,overcast clouds
133,Kaitangata,NZ,-46.2817,169.8464,50.36,95,100,12.28,light rain
134,Marawi,PH,7.9986,124.2928,72.64,72,98,6.98,overcast clouds
135,Kupang,ID,-10.1667,123.5833,88.38,79,75,5.75,broken clouds
136,Bambous Virieux,MU,-20.3428,57.7575,78.22,83,75,3.44,broken clouds
137,Asau,RO,46.4333,26.4,29.95,79,100,4.32,overcast clouds
138,Voh,NC,-20.9667,164.7,84.65,64,67,5.57,broken clouds
139,Yeppoon,AU,-23.1333,150.7333,85.78,64,8,14.41,clear sky
140,Mount Gambier,AU,-37.8333,140.7667,66.11,39,0,9.22,clear sky
141,Itupeva,BR,-23.1531,-47.0578,71.15,73,0,16.11,clear sky
142,Kingman,US,35.1894,-114.053,60.28,22,1,4.0,clear sky
143,Ahipara,NZ,-35.1667,173.1667,73.56,69,30,12.46,scattered clouds
144,Atuona,PF,-9.8,-139.0333,78.53,75,6,17.13,clear sky
145,Bandarbeyla,SO,9.4942,50.8122,73.54,74,95,13.38,overcast clouds
146,Victoria,HK,22.2855,114.1577,69.04,48,84,1.01,broken clouds
147,Srednekolymsk,RU,67.45,153.6833,-44.86,100,58,1.95,broken clouds
148,Floro,NO,61.5996,5.0328,37.36,56,90,14.97,light rain
149,Lethem,GY,3.3803,-59.7968,78.49,70,39,8.95,scattered clouds
150,Hami,CN,42.8,93.45,28.94,48,100,1.83,overcast clouds
151,Port Blair,IN,11.6667,92.75,81.84,72,64,12.41,broken clouds
152,La Rioja,ES,42.25,-2.5,38.48,94,96,8.28,overcast clouds
153,Juneau,US,58.3019,-134.4197,24.8,82,75,9.22,broken clouds
154,Takoradi,GH,4.8845,-1.7554,79.72,80,100,4.05,overcast clouds
155,Albany,US,42.6001,-73.9662,37.98,75,39,7.9,scattered clouds
156,Cidreira,BR,-30.1811,-50.2056,70.09,83,85,18.01,overcast clouds
157,Abu Samrah,SY,35.3029,37.1841,53.65,45,100,4.76,overcast clouds
158,Fortuna,US,40.5982,-124.1573,51.42,92,90,0.0,overcast clouds
159,Mizan Teferi,ET,6.9833,35.5833,62.6,71,5,3.42,clear sky
160,Upington,ZA,-28.4478,21.2561,55.78,76,0,3.44,clear sky
161,Puerto Escondido,MX,15.85,-97.0667,79.63,69,1,0.0,clear sky
162,North Bend,US,43.4065,-124.2243,52.16,91,90,8.05,overcast clouds
163,Beringovskiy,RU,63.05,179.3167,31.39,99,100,27.58,snow
164,Gewane,ET,10.1664,40.6453,69.03,48,0,3.44,clear sky
165,Shakawe,BW,-18.3667,21.85,70.27,76,100,1.41,overcast clouds
166,Svetlogorsk,BY,52.6333,29.7333,27.86,88,100,7.31,overcast clouds
