City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
313,Carutapera,BR,77.02,scattered clouds,-1.195,-46.02,Lidera
319,Aden,YE,78.94,clear sky,12.7794,45.0367,Sama Emirate Hotel
322,Parrita,CR,83.97,overcast clouds,9.5201,-84.3225,Beso del Viento
327,Ambilobe,MG,76.35,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
328,Gambela,ET,76.53,few clouds,8.25,34.5833,Solomon Debebe Hotel
330,Conde,BR,78.26,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
334,Bubaque,GW,80.6,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
335,Kudahuvadhoo,MV,82.11,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
337,Champerico,GT,81.03,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
340,Anloga,GH,80.82,overcast clouds,5.7947,0.8973,Pin Drop Hotel
343,Tonj,SS,76.21,few clouds,7.2737,28.6822,Lakan Hotel
348,Kilindoni,TZ,78.31,moderate rain,-7.9139,39.6668,Bustani B&B
354,Vao,NC,76.78,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
356,Ixtapa,MX,77.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
360,Dingle,PH,79.86,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
361,Cabedelo,BR,79.47,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
369,Maxixe,MZ,75.6,clear sky,-23.8597,35.3472,Oceano
370,Sola,VU,79.23,overcast clouds,-13.8833,167.55,Leumerus Bungalows
375,Mayumba,GA,77.32,light rain,-3.432,10.6554,LIKWALE LODGE
376,Cap Malheureux,MU,78.48,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
379,Cotonou,BJ,82.38,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
384,Bonthe,SL,79.25,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
386,Wad Rawah,SD,76.3,clear sky,15.1603,33.1397,ود الترابي
388,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
391,Wewak,PG,84.88,light rain,-3.5534,143.6268,In Wewak Boutique Hotel
393,Maumere,ID,84.9,light rain,-8.6199,122.2111,Sylvia Hotel
399,Kieta,PG,83.39,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
401,Morondava,MG,79.14,clear sky,-20.2833,44.2833,La Case Bambou
407,Kawalu,ID,85.21,light rain,-7.3817,108.2082,KOSAN UNGU UNSIK
421,Mahajanga,MG,78.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
429,Axim,GH,78.49,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
432,Cabatuan,PH,80.19,broken clouds,10.8794,122.486,MVC Transient Room
436,Balingasay,PH,79.52,broken clouds,16.3573,119.8564,Rock Garden Resort
